211,104,9
108,181,9
134,66,2
173,235,9
55,58,5
69,70,5
205,138,4
217,249,5
236,240,7
230,4,6
112,185,2
184,86,3
166,113,5
112,199,4
112,183,7
1,164,6
102,224,5
156,232,6
67,232,2
64,29,8
101,180,8
96,106,5
133,91,7
19,142,4
105,22,6
89,45,3
193,124,10
108,121,6
70,241,8
165,47,2
60,147,7
180,42,10
41,102,8
49,143,7
172,175,4
10,202,9
137,233,1
205,37,3
107,94,5
79,93,2
78,206,5
41,21,7
75,11,8
95,52,1
76,51,1
175,74,6
131,156,3
63,158,5
118,137,6
5,119,2
181,152,9
158,165,1
21,91,6
160,228,9
204,250,1
63,101,1
2,107,2
76,242,7
142,79,9
212,7,1
91,8,4
207,205,4
22,7,8
182,51,1
24,42,6
90,174,6
19,135,5
15,77,4
21,226,10
60,90,9
83,160,9
249,12,3
200,173,9
220,187,9
116,97,3
103,19,8
105,209,2
161,127,5
110,149,2
175,192,6
15,180,3
128,176,9
79,41,4
223,180,3
153,116,6
162,232,6
24,234,8
110,184,5
111,239,2
223,71,6
241,145,5
169,175,3
78,227,1
117,231,6
208,71,8
159,180,2
174,243,9
74,78,7
51,244,1
206,98,10
198,115,10
186,129,2
123,170,7
56,155,1
1,61,3
139,133,7
39,220,8
208,192,3
95,238,2
76,108,4
172,110,3
180,248,9
10,61,6
215,88,9
187,45,8
230,15,5
148,17,2
41,150,4
201,25,9
193,66,4
164,247,4
208,3,6
142,68,1
155,229,7
34,3,8
131,163,8
148,215,1
175,130,8
143,122,10
104,143,10
152,199,1
191,35,6
220,148,4
230,52,1
220,42,5
107,118,3
135,241,9
26,171,2
19,168,4
124,201,3
16,212,1
71,136,7
221,82,5
205,80,8
87,52,7
34,42,3
243,11,6
85,46,5
232,77,2
116,123,10
157,47,7
64,4,6
4,50,4
22,218,4
23,154,5
62,239,3
2,134,8
157,231,5
68,127,9
81,39,3
71,30,7
178,11,3
116,119,3
124,189,2
124,225,6
128,100,8
140,102,4
172,92,1
201,89,7
219,123,1
96,81,2
134,233,7
35,54,1
144,242,5
202,51,4
14,213,10
166,96,7
181,23,10
180,82,9
161,130,5
123,83,8
89,66,4
61,156,1
217,159,6
245,81,2
89,231,9
203,249,7
31,174,7
49,188,8
206,118,9
147,95,8
195,11,9
223,199,10
207,130,8
159,49,3
87,60,5
136,75,7
159,59,10
181,74,3
241,74,7
187,173,3
41,141,6
67,118,5
6,97,8
43,197,3
113,137,5
236,203,6
108,87,10
25,32,5
154,83,1
126,187,5
232,77,10
152,63,7
143,154,4
67,18,2
128,156,6
221,235,4
103,126,1
78,75,4
239,93,2
143,7,10
142,159,3
169,16,6
153,120,8
100,248,7
137,90,6
76,139,2
115,152,10
184,64,7
234,67,4
171,223,7
48,201,5
1,248,8
196,78,1
21,84,2
195,139,4
120,248,9
196,134,9
