715,470,1
126,606,4
168,711,4
502,388,1
352,79,4
287,673,1
10,428,1
616,497,5
277,346,5
230,301,2
603,365,5
348,143,2
292,665,2
200,202,3
617,226,1
398,402,2
423,317,5
122,211,1
175,187,5
28,160,1
361,242,2
670,553,2
65,526,5
368,419,1
289,502,3
612,3,4
253,165,3
470,70,1
330,137,1
257,546,3
368,16,5
60,157,5
168,318,5
567,435,3
700,612,1
677,197,1
649,359,3
314,462,2
226,626,4
620,100,3
322,565,1
313,394,4
520,705,5
40,382,4
62,445,3
393,267,2
145,578,1
592,95,3
585,584,2
235,369,4
590,519,5
322,312,5
674,540,5
157,618,5
179,660,5
637,241,5
168,323,2
178,172,5
687,616,1
655,175,3
610,34,3
17,260,3
43,347,2
529,51,2
211,44,2
547,561,1
636,230,4
536,728,3
402,486,5
396,49,5
336,398,4
213,663,5
194,437,3
549,61,3
393,428,2
141,189,2
312,150,5
221,588,4
566,589,1
674,359,3
240,292,3
358,279,1
422,74,4
563,655,3
502,567,5
631,188,3
665,323,5
325,217,4
339,342,1
686,620,4
16,697,1
748,702,2
378,608,2
435,183,1
615,186,3
438,370,2
73,188,2
56,229,4
255,531,5
546,594,2
222,308,2
497,161,1
499,243,3
693,358,3
367,704,4
749,715,4
164,404,5
202,370,5
587,109,2
637,121,1
472,389,5
21,224,3
10,473,1
249,200,3
726,3,5
444,322,5
44,67,3
521,507,2
81,601,4
662,185,2
574,40,4
162,395,2
430,464,1
9,683,1
548,355,2
662,694,1
162,684,4
510,291,2
306,567,2
283,502,5
680,587,3
252,257,2
707,722,3
443,213,2
64,248,3
215,503,3
407,410,3
182,378,1
241,248,2
631,381,1
142,699,1
112,276,3
100,654,3
67,215,5
348,539,4
489,507,1
569,597,1
445,714,3
702,202,4
597,474,1
701,566,2
406,617,3
132,576,3
529,10,5
83,683,3
468,258,2
22,562,2
103,42,4
511,296,3
339,355,2
745,748,3
276,341,2
276,577,4
732,280,4
576,77,5
285,333,4
166,586,1
64,649,1
342,612,1
689,130,1
235,750,5
207,447,3
488,258,1
517,518,2
498,512,5
739,14,1
318,282,3
694,416,2
198,309,2
708,184,1
649,693,5
113,263,4
411,29,3
73,693,5
106,550,4
712,225,4
319,717,3
471,660,5
169,55,4
602,699,5
467,381,2
225,128,3
370,136,2
345,67,5
521,434,3
351,611,3
660,409,4
40,617,3
287,50,5
222,671,3
516,32,5
233,546,4
472,35,4
497,258,3
54,710,2
98,130,5
178,725,2
60,689,2
683,530,4
741,184,1
296,612,2
640,684,1
238,340,4
159,189,3
483,506,1
183,552,5
720,663,3
432,467,2
595,504,1
750,439,4
689,106,3
131,527,1
395,236,1
565,395,4
309,219,5
580,479,5
508,468,2
449,690,4
228,497,5
75,511,4
562,14,4
261,691,1
568,199,3
487,148,2
59,9,1
320,102,4
533,302,1
166,456,3
670,737,4
582,552,5
325,133,3
20,610,1
